a	art.一(个，件，...)
aberration	n. 越轨,光行差,心理失常,色差
abet	v. 教唆，协助（罪犯）
abettor	n. 唆使者
abeyance	n. 中止，暂搁
abhor	v. 憎恨，嫌恶
abhorrence	n. 痛恨
abhorrence of	厌恶，痛恨
abhorrent	adj. 可恨的，可厌的
abide	vt.遵守 vt.忍受
abide by	遵守(法律等)；信守；固定
abiding	a.持久的，永久的
ability	n.能力；能耐，本领
ability-to-pay principle	纳税能力原则
abject	adj. 极可怜的，卑屈的
abjure	v. 誓绝，弃绝
ablaze	a. 着火的,闪亮的,激昂的
able	adj.有能力的；能干的
ablution	n. （宗教的）净礼，沐浴
ably	ad. 能干地,巧妙地
abnegation	n. 克己，自制
abnormal	a.不正常的；变态的
abnormal depreciation	特别折旧，异常折旧
abnormal profit	超额利润
abnormality	n. 反常；变态
aboard	adv.上船(飞机、车)
abode	n. 住处，住所
abolish	vt.废除，取消
abolition	n. 废除，革除
abolitionist	n. 废除主义者,废奴主义者
a-bomb	原子弹
abominable	adj. 可厌的，天气极坏的
abominate	v. 痛恨；痛恶
abomination	n. 憎恨,痛恶,可憎的事物
aboriginal	n. 原始居民，土著
aborigine	n. 土著居民
aborigines	n. 土人,原住民,土生生物
abort	v. & n. 中断，故障
abortion	n. 流产,堕胎,失败,夭折
abortive	adj. 无结果的，失败的
abound	v. 充满，富于
abound in	盛产，富于，充满；多，富有
abound with	充满，多，富有
about	prep.关于；在…周围
above	prep.在…上面；高于
above all	首先；首要；尤其是；最重要的
above norm	限额以上
above par	超过票面价值
above reproach	无可指责
aboveboard	ad. & a. 照直，公开的
above-mentioned	adj. 上述的；以上提到的
above-the-line expenditure	经常预算支出
abrade	v. 磨损，擦伤
abraham lincoln	亚伯拉罕·林肯
abrasion	n. 表面，磨损
abrasion of coin	铸币磨损
abreast	ad. 并肩地,相并地
abridge	v. 删减，缩短
Abridgment	n. 删节，节本
abroad	ad.(在)国外；到处
abrogate	v. 废止，废除
abrogation	n. 取消，废除
abrupt	a. 突然的,唐突的,无礼的,不连贯的
abruptly	adv. 突然地；突然；粗鲁地
abscess	n. 脓疮,溃疡
abscond	潜逃，逃亡
absence	n.缺席，不在场；缺乏
absence debtor	失踪债务人
absent	a.不在场的；缺乏的
absent from	不在，缺席
absentee	n. 缺席者,未上班者,不在者
absently	ad. 心不在焉地
absent-minded	adj. 心不在焉的
absolute	a.绝对的；纯粹的
absolute advantage	绝对优势
absolute assignment	绝对转让
absolute contraband	绝对禁运品
absolute cost advantage	绝对成本优势
absolute liability	绝对赔偿责任
absolute par	绝对平价
absolute par exchange	绝对汇兑平价
absolutely	ad.完全地；绝对地
absolution	n. 赦免，免除
absolve	vt. 宣告...无罪,赦免,免除
absorb	vt.吸收；使专心
absorb idle funds	吸收游资
absorb to	不合理，荒唐
absorbent	a. 能吸收的
absorbing	a. 吸引人的,非常有趣的
absorption	n.吸收；专注
absorption capacity	承受损失能力
abstain	v. 自动戒绝，抑制
abstain from	戒除，弃权，避开
abstemious	adj. 有节制的，节俭的
abstinence	n. 节制,禁欲,戒酒
abstract	adj.抽象的；深奥的
abstract of account	帐目摘要
abstract of title	产权说明
abstract painting	抽象画
abstracted	adj. 心不在焉的
abstraction	n. 抽象化,心不在焉,提炼,抽象派作品
abstruse	adj. 难懂的，深奥的
absurd	a.不合理的，荒唐的
absurdity	n. 荒谬
absurdly	ad. 荒诞地
abu simbel	阿布辛波古庙
abundance	n.丰富，充裕
abundant	a.丰富的；大量的
abundant in	丰富的，充裕的
abuse	vt.滥用；虐待 n.滥用
abusive	a. 辱骂的,滥用的,陋习的
abut	v. 接界，毗连
abysmal	adj. 无底的；深渊的；极深的，糟透的
abyss	n. 深渊，深坑
acacia	n. 金合花
academic	a.学院的；学术的
academic degree	学位
academically biased	a. 偏向于书本知识的
academy	n.私立中学；专科院校
accede	v. 应允，同意
accede to	同意
accelerate	vt.(使)加快；促进
accelerated depreciation	加速折旧
acceleration	n.加速；加速度
accelerator	n. 加速者,加速器,油门
accent	n.口音，腔调；重音
accentuate	v. 着重，强调
accept	vt.vi.接受；同意
acceptable	a.可接受的，合意的
acceptance	n.接受，验收；承认
acceptance bill	承竞票据
acceptances	承兑汇票
acceptation	n. 公认的意义,词义
accepted	已经接受的
access	n.接近；通道，入口
access activity	存取活动
access road	通路
access to	接近；通向…的入口；进入
access to market	进入市场
accessary	n. 同谋，从犯；附件
accessible	adj. 易达到的，易受影响的
accession	n. 到达,即位,增加,同意
accessory	n.同谋 a.附属的
accessory contract	附加合约
accessory factory	附属工厂
accessory substances	副产品
accident	n.意外的；事故
accidental	adj. 意外的，偶然的
accidentally	adv. 意外地，偶然地；偶尔，附带
acclaim	v. 欢呼，称赞
acclamation	n. 欢呼
acclimate	 v.使习惯于新环境；适应于新环境
acclimate to	适应，习惯于
acclimatize	vt. 使适应新环境,使服水土
acclivity	n. 向上的陡坡
accolade	n. 推崇备至，赞扬
accommodate	vt.容纳；供应，供给
accommodating	adj. 乐于助人的
accommodation	n.招待设备；预定铺位
accommodation agency	房屋经销处
accommodation bill	欠单；空头票据；通融票据
accommodation payment	索高价贿赂法
accommodation signature	担保签字，通融签字
accompaniment	n. 自然的伴随物,陪伴物,伴奏
accompany	vt.陪伴，陪同；伴随
accomplice	n. 同谋者，帮凶
accomplish	vt.达到(目的)；完成
accomplished	a. 完成的,实现的,善社交的,有造诣的
accomplishment	n. 技能；成就
accord	vt.使一致；给予
accord with	一致；给予；符合
accordance	n.一致；和谐；授予
accordant	一致的
according	ad. 根据
according as	根据…而…
according to	根据…所说；按照；根据，
accordingly	ad.因此，所以；照着
accordion	n. 手风琴
accost	vt. 招呼,搭讪,勾引
account	n.记述；解释；帐目
account code	帐户代号
account credit	赊帐
account day	结算日
account debtor	债务人
account for	说明(原因等)；解释；占；打死，打落(敌机)
account manager	帐户经理
account payable	应收帐款
account settled	决算，付乞
account stated	认可帐额，确定帐单
accountable	a. 有责任的,可说明的,可解释的
accountable for	对...应付责任
accountant	n. 会计
accounting	n. 会计学,清算帐目
accounting fiduciary	财产信托
accounting firm	会计事务所
accouter	vt. 供以服装,供以军用品,装备
accoutre	vt. 供以服装,供以军用品,装备
accoutrements	n. (军服武器之外的)装备，配备
accra	n. 阿克拉(加纳首都)
accredit	vt. 信任,授权,归于,委任
accredited buyer	开信用证申请人，受信买方；授信买主开证申请人
accreditee	信用证受益人(即卖方)
accreditor	开信用证申请人(即买方)
accretion	n. 自然的增加，增加物
accrual accounting	应收增加帐
accrue	v. （利息等）增大，增多
accrued	adj. 增值的，应计的
accrued expenditure	应付开支
accrued expenses	应付费用
accrued income	应计收入
accrued interest	应计利息
accrued profit	应计利润
acculturation	文化移人，文化适应，文化交流
accumulate	vt.积累 vi.堆积
accumulate fund	公积金
accumulated dividends	累计股息
accumulation	n. 积累
accumulation of capital	资本积累
accumulative	adj. 积累的
accuracy	n.准确(性)；准确度
accurate	a.准确的，正确无误的
accurate at	对…很正确
accurately	adj. 准确地；ad. 准确地；精密地
accursed	adj. 不幸的，倒霉的；被诅咒的；可憎的
accusation	n. 指控
accuse	vt.指责；归咎于
accuse of	控告，谴责
accuse sb. of sth.	控告(某人某事)
accuser	n. 原告,控诉者,非难者
accustom	vt.使习惯
accustom to	使习惯
accustomed	a. 习惯了的
ace	n. 幺点,好手,高手,少许
acephalous	a. 无头的,群龙无首的
acerbic	a. 尖刻的
acerbity	n. 苦涩，刻薄
acetate	n. 醋酸盐
acetic	a. 醋的,酸的
acetylene	n. 乙炔,电石气
acetylsalicylic	adj. 乙酰水杨酸的
ache	vi.痛；想念 n.疼痛
achieve	vt.完成，实现；达到
achievement	n.完成；成就，成绩
achillean	a. 象阿基利斯一样健壮的；勇敢的
aching	adj. 疼痛的
acid	n.酸；酸的，酸性的
acid-base	n. 酸-碱
acid-base balance	酸-碱平衡
acidity	n. 酸味,酸性
acidulous	adj. 有酸味的，刻薄的
acknowledge	vt.承认；告知收到
acknowledgment	n. 承认,承认书,感谢
acknowledgment of liability	承认债务
acknowledgment of order	确认订单
acme	n. 顶点，极点
acme code	阿克米商业电码
acolyte	n. (教士的)助手，侍僧
aconite	n. 乌头,从乌头的根所提炼的强心止痛剂
acorn	n. 橡实，橡子
acoustic	adj. 听觉的，有关声音的
acoustics	n. 声学
acquaint	vt.使认识，使了解
acquaint with	熟悉，知道；使认识，使了解
acquaintance	n.认识；了解；熟人
acquaintant	adj. 熟悉的
acquiesce	v. 勉强同意，默认
acquiescence	n. 默许,默认,无可奈何的同意
acquiescent	adj. 默认的；顺从的
acquire	vt.取得；获得；学到
acquired	adj. 后天免疫；后天习得的
acquired right	既得权利
acquirement	n.取得,获得; 习得 (能力)
acquisition	n. (有价值的)获得
acquisitive	adj. 贪得的，物欲重的
acquit	vt. 开释,释放,完成,表现
acquittal	n. 宣告无罪，开释
acquittance	清偿；清偿债务的收据
acre	n.英亩(=6.07亩)
acreage	n. 英亩数,面积
acrid	a. 苦味的,辛辣的,尖刻的
acrimonious	adj. 尖刻的
acrimony	n. 尖刻，刻薄
acrobat	n. 特技演员，杂技演员
acrobatic	a. 特技表演的,惊险表演的
acrobatics	n. 杂技
acronym	n. 首字母简略词，简称
acropolis	n. 城堡,雅典的卫城
across	prep.横过，穿过
across desert	穿过沙漠
act	vi.行动；做，做事
act as	担任；充当；做(向导)
act for	代理
act on	作用于；按照…而行动；起作用
act out	表演，演出；比划着表达
act up	调皮
act upon	对…起作用；按照
acth	(缩)肾上腺皮质激素
acting	n. 演技；演戏；表演，a. 代理的
acting manager	代经理
action	n.行动；作用；功能
action on	作用
activate	vt. & n. 使激活，驱动；vt.激活；使活动，使加速；起动；使活泼，开动
active	a.活跃的；积极的
active life	职业生活
active securities	热门股票
active stock	买卖活跃的股票
actively	adv. 积极地，活跃地
activist	n. 积极分子
activity	n.活动，能动性
actor	n.男演员；演剧的人
actress	n.女演员
actual	a.实际的；现行的
actual asset	实际资产
actual budget	决算
actual cash value	实际现金价值
actual cost	实际支出
actual goods	现货
actual investment	实际投资
actual liability	实际负债
actual price	实际价格
actual profit	实际利润
actual quotation	实盘，实际开价
actual reserves	实际准备金
actual risk	实际风险
actual stuff	现货
actual weight	实际重量
actuality	n. 实际
actually	adv.实际上
actuals	n.现货
actuarial	a. 保险统计师的,保险统计的
actuate	vt. 开动,促使,激励
acumen	n. 敏锐，明智
acupressure	n. 针压法
acupuncture	n. 针刺；针刺疗法
acute	a.尖的，锐的；敏锐的
acute angle	锐角
acuteness	n. 锐利,敏锐,剧烈
ad	n. (缩)广告
ad hoc	专门，特设临时，专案
ad valorem duty	从价税
adadon	vt. 抛弃，放弃
adage	n. 格言，古训
adamant	adj. 强硬的，固执的
adamantine	a. 非常坚硬的,坚定不移
adapt	vt.使适应；改编
adapt to	适应；适合；使适合，使适应
adaptability	n. 适应性
adaptable	 adj. 有适应能力的，能运用的；适应性强的；可改编的
adaptation	n. 适应
adapter	n. 适配器，转换器
adcolumn	广告栏
add	vt.加，增加
add all numbers together	把所有的数字加到一起
add in	插入，包括
add spice to...	调味；使…增添兴趣
add to	加，增加
add up	加算，合计
add up to	总计；总计是；导致；意味着；合计
add...to	把…加到
addend	n. 『数学』加数
adder	n. 欧洲产的小毒蛇,北美产的无毒小蛇,
addict	vt. 使沉溺,使上瘾
addicted to	热爱，沉溺于
addiction	n. 沉迷；热衷；沈溺，上瘾
addictive	adj. (毒品等)使人上瘾的
adding	增加的
adding machine	加法机
addition	n.加，加法；附加物
additional	a.附加的，追加的
additionally	ad. 另外，又
additive	adj. 附加的；n. 添加剂；附加物
addle	v. 使腐坏，使昏乱
addled	adj. 头脑混乱的
add-on	加码
add-on fare	加码票价
address	n.地址；演说；谈吐
addressee	收信人
addressing	n. 寻址
adduce	v. 给予（理由），举出
adenoids	n. 腺状肿大,扁桃腺肥大
adenosine	n. 腺苷，腺嘌呤核苷
adept	adj. 老练的，精通的
adept at	熟练于…
adequacy	n. 能力
adequate	a.足够的；可以胜任的
adequately	adv. 恰当地；足够地
adf	sadf
adhere	vi.粘附；追随；坚持
adhere to	粘附在…上；坚持；依附；执著于；粘附，胶着
adherence	n. 依附,固执
adherent	n. 拥护者，党徒
adhesion	n. 附着,粘着,固守,支持
adhesive	a. 粘着的,有粘性的
adieu	int. 再见,再会
adipose	adj. 脂肪多的
adjacent	a.毗连的；紧接着的
adjacent to	与…毗连的；邻近，靠近；邻近的
adjective	n.形容词 a.形容词的
adjoin	vt.贴近，毗连；靠近
adjourn	vi. 延期,休会,换地方
adjournment	n. 延期,休会,休会期间
adjudge	vt. 宣判,判决,裁定给与
adjudicate	v. 充当裁判，判决
adjunct	n. 附属物,附件,修饰语
adjuration	n. 严令,恳请,请愿
adjure	v. 郑重敦促（恳请）
adjust	vt.调整，调节；校正
adjustable	adj. 可调整的；可校准的
adjustment	n. 调节
adjustment credit	调整性信贷
adjutant	n. （军队的）副官，助手
administer	vt. 实施，掌管
administered price	受控价格
administrate	vt. 管理，经营，实施
administration	n.局(或署、处等)
administrative	a. 管理的,行政的
administrative assistant	行政助理
administrator	n. 管理人,行政官
admirable	a. 可钦佩的,优良的,令人惊奇的
admirably	ad. 令人钦佩地；极妙地
admiral	n. 舰队司令,海军上将,旗舰
admiralty	n. 海军上将的地位或职权,海军部,
admiration	n.羡慕，钦佩；赞赏
admiration for	对…赞赏
admire	vt.钦佩；羡慕；赞美
admire to do sth.	(美口)很想做某事
admirer	n. 钦佩者,仰慕者,求爱者
admissible	允许的，可采纳的
admissible assets	认可(可征税)资产
admissible error	允许误差
admission	n.允许进入；承认
admit	vt.&vi.承认
admit of	容许有，有…余地；为…留余地
admit to	承认；让…享有
admittance	n. 入场,入场权,准入
admittedly	adv. 公认地；明白地
admixture	n. 混合,混合物
admonish	v. 训诫，警告
admonition	n. 警告,劝告,训诫
admonitory	adj. 警告的
ado	n. 忙乱，骚扰
adobe	n. 泥砖，土坯
adolescence	n. 青春期
adolescent	n. 青少年(此处是类比)
adopt	vt.收养；采用；采取
adoption	n.收养；采纳，采取
adorable	adj. 迷人的，可爱的
adoration	n. 爱慕，崇拜
adore	vt.崇拜；很喜欢
adorn	v. 装饰
adornment	n. 装饰，装饰品
adrenal	a. 肾上腺的；n. 肾上腺
adrenalin	n. 肾上腺素
adrift	ad. 漂流地
adroit	adj. 熟练的，灵巧的
adulate	v. 谄媚，奉承
adulation	n. 谄媚,奉承,阿谀
adult	n.成年人 a.成年的
adulterate	v. 掺假
adulterated	adj. 掺入次级品的
adulterated goods	冒充货，假货
adulteration	n. 掺杂,掺假的东西,冒充货
adulterer	n. 奸夫
adulteress	n. 奸妇
adulterous	a. 通奸的,不贞的
adultery	n. 通奸
adumbrate	v. (对将来事件)预示
adumbration	n. 轮廓,预示,阴影
adust	a. 烘干的，烤焦的；忧郁的；阴沉的
advance	vi.前进；提高 n.进展
advance bill	预付票据
advance buying	预先采购
advance by overdraft	透支
advance charge	预付款
advance copy	预发件，试行本
advance department	贷款部
advance freight	预付运费
advance fund	预付经费
advance holder	预付款持有人
advance in price	提价
advance money	预收或预付款
advance note	预支票据
advance notice	预先通知
advance of salary	预支薪金
advance of wages	提高工资
advance payment	预付，预付款项
advance price	预付价格，增价
advance remittance	预付汇款
advance rentals	预付租金
advance reservation	预订
advance sale	预售
advance sheets	样本，样页
advanced	a.先进的；高级的
advanced capital	预付资本
advanced charges	预付费用
advanced mathematics	n. 高等数学
advanced position	前沿阵地
advance-decline line	股票价格涨落线
advancement	n. 前进,进步
advancing	(价格)上涨
advantage	n.优点，优势；好处
advantageous	a.有利的，有助的
advantages of scale	规模利益
advent	n. 到来，来临
adventitious	adj. 偶然的，外来的
adventure	n.冒险，冒险活动
adventurer	n. 冒险家,投机者
adventurous	a. 喜欢冒险的,大胆的,惊险的
adverb	n.副词
adverbial	 adj. 状语的；副词的；n. 状语
adversary	n. 对手，敌手
adverse	a. 反面的，不友好的
adverse balance	贸易逆差
adverse clearing	不利的票据清算
adverse exchange	逆汇
adverse to	反对
adversity	n. 不幸，灾难
advert	vi. 注意,留意,言及
advertise	vt.通知 vi.登广告
advertise for	登广告征求(寻找)某物
advertise/-ize	vi. 登广告，做广告；vt. 为…做广告
advertised bidding	公开招标
advertisement	n.广告；公告；登广告
advertisement company	广告公司
advertisement expenses	广告费用
advertisement matter	广告邮件
advertiser	n. 做广告的人
advertising	adj. 广告的；广告，广告费n. (总称)广告；
advertising agency	广告代理商
advertising agent	广告词语
advertising strategy	广告战略
advice	n.劝告；忠告；意见
advice note	通告单
advice of charge	付款通知书
advice of collection	收款通知书
advice of damage	破损通知书
advice of drawing	汇票通知书，提款通知
advice of fate	出险事故通知
advice of payment	付款通知
advice of settlement	结算通知
advisable	n.明智的；可取的
advise	vt. 忠告，劝告，建议；通知；告诉；通告
adviser	n. 顾问,指导教授,劝告者
advisory	adj. 劝告的
advisory service	咨询服务
advocacy	n. 拥护,支持,鼓吹
advocate	n.辩护者 vt.拥护
aegean	a. 爱琴海的
aegis	n. 保护，庇护
aeon	n. 永世,无数的年代
aerate	v. 充气，让空气进入
aerial	a.空气的；航空的
aerie	n. 鹰巢,高处的房子,高处的城堡
aerodrome	n.飞机场
aeronaut	n. 气球驾驶员
aeronautics	n. 航空学
aeroplane	n. 飞机；(英)飞机
aerospace	n. 航空和宇宙航行空间；太空，宇宙空间
aery	n. 高巢,高处房子,高处的城堡
aesthete	n. 审美家
aesthetic	a. 美学的；审美的
aesthetics	n. 美学
afar	ad. 由远处,遥远地
afeared	a. 恐惧的
affability	n. 和蔼,殷勤,亲切
affable	adj. 易于交谈的，和蔼的
affair	n.事件；事情
affect	vt.影响；感动
affect to	假装
affectation	n. 做作，虚假
affected	adj. 不自然的，假装的
affection	n.慈爱，爱；爱慕
affection for	钟情于，对…有影响
affectionate	adj. 挚爱的
affectionately	adv. 充满深情地；热情地；体贴地；慈爱地
afferent	a. 传入的,向心的
affiance	n. 信托,婚约
affidavit	n. 宣誓书
affiliate	n. 分号(公司)；vt. 使…加入；使附于；合并，接纳；分支机构；附属公司；v. 加入联合
affiliate company	联营公司；附属公司
affiliated societies	联合会(协会)
affiliated trade unions	联合工会
affiliation	n. 入会，加入
affinity	n. 密切关系，吸引力
affirm	vt.断言，批准；证实
affirmation	n. 肯定,断言,主张
affirmative	adj. 赞成的，肯定的
affix	vt. 使附于,署名,粘贴
affix one's signature	签名，署名
affix to	帖上，签上
afflatus	n. 一阵风，（诗人等的）灵感
afflict	vt. 使痛苦,折磨
afflict with	为…受苦
afflicting	痛苦的
affliction	n. 痛苦，折磨
affluence	n. 富裕,富足,流入
affluent	a. 丰富的,富裕的
afflux of capital	资本流入
afford	vt.担负得起…；提供
afford to	(买)得起(某物)
affordable	adj. 买得起的
affray	n. 吵架,骚扰,滋事
affright	vt. & n. (古)恐吓，恐惧
affront	v. 侮辱，冒犯
Afghanistan	n. 阿富汗
afield	ad. 至野外,在田野,至远方
afire	a. 着火的
afloat	a. & ad. 漂浮着(的)
afoot	a. 徒步的,在准备中,在进行中的
afore	ad.prep. 在前
aforesaid	a. 上述的,前述的
afraid	adj.(表语)怕，害怕
afraid of	害怕，怕
afresh	ad. 重新,再度
Africa	n.非洲
African	a.非洲的 n.非洲人
aft	ad. 在船尾
after	prep.在…以后；次于
after a little	过了一会儿
after a time	过了一段时间
after a while	过了一会儿；不久；一段时间
after all	究竟，到底；毕竟；终究；别忘了；虽然这样；终于
after charge	附加费率
after class	下课后
after date	出票后
after effect	后果，副作用
after hours	办公时间以后；闭市后
after market	销后市场
after school	放学后
after sight	见票后
after-dinner	饭后的；晚饭后的
aftermarket	n.后继市场；零件市场
aftermath	n. 不幸事件之后果，余波
afternoon	n.下午，午后
afternoon buyer	趁行市跌价买进的人
afternoon clearing	午后票据交换
afternoon session	午盘，午市
after-sales service	售后服务
after-service	售后服务
afterthought	n. 事后才有的想法,追悔,再思
afterward	ad.后来，以后
afterwards	ad. 以后，后来，然后
again	ad.又一次；而且
again and again	再三地，反复地
against	prep.反对；对着
against actual	以期换现
against all risks	保一切险，承担一切风险
against documents	现金支付
agape	ad. 张口发呆地,目瞪口呆地
agate	n. 玛瑙
age	n.年龄；时代 vt.变老
age depreciation	按使用年限折旧
aged	a. 年老的,经过相当岁月的,有...岁的
age-group	n.同龄的一群人
ageing	n. 老化
agency	n.经办；代理；代理处
agency abroad	国外代办处，国外代理
agency company	代理公司
agency cost	机构承办费
agency endorsement	代理背书
agency fee	代理费
agency general	总代理，总代办
agency service	代理服务
agency shop	代理商店
agency transaction	委托交易
agenda	n. 议程
agent	n.代理人，代理商
agent banks	代理银行
agent's torts	代理人的侵权行为
agglomerate	v. 凝聚，结块
agglomeration	n. 结块,凝聚,块
aggrandize	v. 增大，扩张
aggravate	v. 加重，恶化
aggravation	n. 更恶化,加厉,恼怒
aggregate	v. 集合，合计
aggregate amount	总额
aggregate arrival	成批到达
aggregate demand	总需求
aggregate market	总体市场
aggregate output	累积总产出
aggregated	a.聚合的，合计的
aggregated firm	联合商号，联合公司
aggregation	n. 聚集，总合
aggregative economics	总量经济学
aggress	v. (against)挑衅，攻击；侵略
aggression	n. 进攻,侵略
aggressive	a.侵略的；好斗的
aggressively	ad.积极地
aggressor	n. 侵略者,侵略国,攻击者
aggrieve	vt. 使委屈,使苦恼,侵害
aggrieved	adj. (因受伤害而)愤愤不平的，痛心的
aghast	adj. 惊骇的，吓呆的
agile	a. 敏捷的,灵活的,轻快的
agility	n. 敏捷,灵活,轻快
aging	n. 衰老，老化；分期；帐龄分期
agio	n. 贴水
agiotage	n. 汇兑业务，证券投机
agitate	vi. 煽动；鼓动
agitated	adj. 被鼓动的，不安的
agitation	n.鼓动，煸动；搅动
agitator	n. 煽动者
aglow	a. 发红的,通红的
agnostic	adj. 不可知论的
ago	ad.以前
agog	adj. 兴奋的，有强烈兴趣的
agonize	vt. 使苦恼,折磨
agonizing	adj. 使人坐卧不安的；使人痛苦的
agony	n.极度痛苦
agrarian	a. 有关土地的,耕地的
agree	vt.&vi.同意，赞成
agree about	对…有相同的看法
agree on	对…意见一致；商定；决定；达成共识；同意，赞成；就…达成协议
agree to	同意，商定；赞成
agree to do sth.	同意做某事
agree to with	同意，赞成
agree to your terms	同意你方条件
agree to/with	同意，赞成
agree upon	对...取得一致意
agree with	同意某人(或某人意见)；与…取得一致；与…相一致；适合；赞成
agree with sb.	同意某人的意见
agree with somebody	同意某人的意见
agree with/to	同意，赞成
agreeable	a.惬意的；同意的
agreeably	adv. 欣然，依照
agreed	adj. 商定的；已同意的
agreed par value	同意的平价
agreed period	商定期限
agreed price range	议定的价格幅度
agreed to extend	同意延期
agreement	n.协定，协议；同意
agreement account	协定帐目
agreement fixing price	共同定价协议
agreement in writing	书面协定
agreement of intent	意向协议
agreement to resell	转售协议
agreement to sell	经销协定
agricultural	a. 农业的
agricultural bank	农行银行
agriculture	n.农业，农艺；农学
agriculturist	n.农学家
agronomist	n. 农学家
aground	ad. 搁浅地,地面上
ague	n. 疟疾,打冷颤,发冷
ah	interj.啊
aha	interj.啊哈
ahead	adv.在前面，在前头
ahead of	在…前面；优于；先于；胜过
ahead of schedule	提前
ahead of time	提前，在原定时间以前
ahoy	int. 喂
aid	n.帮助，救护；助手
aide-de-camp	n. 副官,侍从武官
aide-memoire	备忘录
aids	n. (缩)艾滋病
ail	vt. 使苦恼
ailment	n. （不严重的）疾病
aim	n.瞄准；目标；目的
aim at	目的在于；指望
aim for	力争…，针对
aiming point	目标
aimless	adj. 无目的的；没有目标
ain't	(同)are not，am not
air	n.空气；空中；外观
air bill of loading	航空提单
Air China	中国国际航空公司
air conditioner	空调机
air consignment note	航空货运单
air express	空运包裹
air force	空军
air freight	航空货运，航空运费
air jet	n. 气嘴
air line	航线
air liner	班机，航班
air mails	空邮
air terminal	候机大楼
air tube	气管
air-born goods	空运货物
air-born trade	空运贸易
airborne	起飞；adj. 空气传播的，(部队)空降的
airconditioning	n.空气调节
air-conditioning	n.空气调节系统
aircraft	n.飞机，飞行器
aircraft carrier	n. 航空母舰
aircraft piracy	劫机
aircrew	机组人员
airdrome	n. 飞机场
Airedale	 (C)  (又作 Airedale terrier) 爱尔得儿
air-fare	飞机票价
airfield	n. 飞机场
air-filled	adj. 充满空气的
air-flight	n. 班机，航班
air-hostess	n. 空中小姐；女乘务员
airing	n.通风；讨论
